epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,985.182,0.69473,0.40258,0.91541,0.92028,0.88276,0.93684,0.7372,0.80225,0.41188,0.96065,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,1937.3,0.70315,0.40859,0.91793,0.91995,0.88339,0.93659,0.73739,0.80189,0.41172,0.9604,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,2892.02,0.70497,0.41075,0.91642,0.92025,0.88349,0.93666,0.73757,0.80158,0.41162,0.96028,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,3855.26,0.70058,0.4102,0.91671,0.92073,0.88344,0.9367,0.7378,0.80136,0.41148,0.96023,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,4817.97,0.70581,0.41273,0.91891,0.9207,0.88368,0.9367,0.73782,0.80114,0.41132,0.96029,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,5772.49,0.70136,0.4091,0.91828,0.92005,0.88469,0.93678,0.73793,0.80091,0.41094,0.96027,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6727.29,0.70152,0.40997,0.91679,0.91962,0.88512,0.93683,0.73812,0.80055,0.41057,0.96021,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,7697.1,0.69511,0.40577,0.91392,0.91832,0.88648,0.93698,0.73843,0.80025,0.41038,0.96012,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,8653.76,0.70136,0.40849,0.91705,0.91817,0.8864,0.93696,0.73841,0.79994,0.41003,0.96011,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,9608.85,0.69799,0.40521,0.91547,0.9189,0.8859,0.93701,0.7386,0.79964,0.40963,0.95997,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,10563.2,0.69493,0.40265,0.91355,0.91961,0.88515,0.9369,0.73882,0.79925,0.40953,0.95986,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,11537.4,0.69408,0.40405,0.91507,0.91993,0.88567,0.93717,0.73898,0.79884,0.40929,0.95975,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,12493.9,0.69194,0.40228,0.91281,0.92008,0.88548,0.93714,0.73918,0.79859,0.40909,0.95975,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,13451.7,0.69236,0.4012,0.91255,0.92109,0.8845,0.93724,0.73957,0.79829,0.40881,0.95957,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,14413.2,0.68656,0.39609,0.90959,0.92155,0.8842,0.93739,0.73973,0.79768,0.40848,0.9593,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,15383.6,0.68724,0.39752,0.91056,0.92266,0.8838,0.93749,0.7398,0.79717,0.40821,0.95903,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,16341.2,0.6861,0.39708,0.91135,0.92243,0.88403,0.93744,0.74006,0.79688,0.40799,0.95896,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,17297.6,0.68415,0.39376,0.91048,0.92224,0.88495,0.93759,0.74009,0.79661,0.40773,0.9589,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,18266,0.68188,0.39416,0.91077,0.92432,0.88295,0.93772,0.7404,0.79612,0.40749,0.95869,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
