epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,997.222,0.78134,0.47708,0.94701,0.92066,0.87551,0.93352,0.72527,0.82267,0.42865,0.966,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,1980.38,0.7903,0.48514,0.95064,0.91804,0.87669,0.93359,0.72617,0.82162,0.42724,0.96544,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2965.55,0.78977,0.48647,0.94994,0.91841,0.87736,0.93361,0.7262,0.82026,0.42644,0.96493,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3952.15,0.78441,0.48356,0.94981,0.91957,0.87683,0.93408,0.72678,0.81906,0.42589,0.96486,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,4937.78,0.78802,0.48645,0.95105,0.91965,0.87695,0.93395,0.72728,0.81826,0.42521,0.96444,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5921.64,0.78295,0.48022,0.94954,0.91809,0.87871,0.93396,0.72753,0.8176,0.42482,0.96439,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6905.88,0.7803,0.48027,0.94836,0.91883,0.87784,0.93385,0.72787,0.81699,0.42434,0.9644,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,7891.75,0.7739,0.47417,0.94516,0.91932,0.87773,0.93397,0.7283,0.81608,0.42365,0.96433,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,8877.28,0.77885,0.47677,0.94607,0.91825,0.87901,0.93427,0.72865,0.81519,0.42298,0.96405,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,9862.31,0.77519,0.47315,0.94518,0.91881,0.87837,0.9343,0.7292,0.81442,0.42253,0.96377,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,10846.6,0.77132,0.46982,0.94344,0.91941,0.87807,0.93451,0.72942,0.81405,0.42194,0.9638,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,11831.8,0.76771,0.46924,0.9419,0.91971,0.878,0.93455,0.72968,0.81341,0.42172,0.96371,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,12816.3,0.76651,0.46776,0.94154,0.92087,0.87758,0.93463,0.72969,0.81307,0.42182,0.96367,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,13803,0.76865,0.46812,0.94279,0.92162,0.87688,0.93478,0.72998,0.81262,0.42143,0.96369,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,14789,0.76161,0.46267,0.9379,0.92222,0.87677,0.93486,0.73007,0.8124,0.42114,0.96365,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,15775.9,0.76119,0.46136,0.93968,0.92074,0.87802,0.93508,0.73041,0.81208,0.42061,0.96363,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
